network,autonomous_system_number,autonomous_system_organization
2804:204::/32,28186,"ITS TELECOMUNICACOES LTDA"
2804:20c::/32,28172,"PROJESOM INTERNET LTDA"
2804:210::/32,262790,"Central Server Informatica Ltda"
2804:214::/32,26615,"TIM S/A"
2804:218::/32,27715,"Locaweb Servicos de Internet S/A"
2804:220::/32,262791,"EMI NET TELECOMUNICACOES LTDA"
2804:224::/32,262792,"VESCNET PROVEDORES LTDA"
2804:22c::/32,22689,"Sercomtel Participacoes S.A."
2804:230::/32,53211,"INFORMATICA E TELECOMUNICACOES ME"
2804:234::/32,262731,"CTINET SOLUCOES EM CONECTIVIDADE E INFORMATICA LTD"
2804:238::/32,23106,"AMERICAN TOWER DO BRASIL-COMUNICACAO MULTIMIDIA LT"
2804:23c::/32,262797,"INTERVALE INFORMATICA LTDA. - EPP."
2804:240::/32,262798,"VIABOL TELECOM LTDA"
2804:244::/32,262801,"GRUPO VIVATELECOM LTDA"
2804:248::/32,28598,"Mob Servicos de Telecomunicacoes Ltda"
2804:258::/32,28132,"TRI TELECOM LTDA"
2804:260::/32,53214,"JDNET TELECOM LTDA. - ME"
2804:268::/32,262812,"K.H.D. SILVESTRI E CIA LTDA"
2804:26c::/32,262813,"Superimagem Tecnologia em Eletronica Ltda"
2804:270::/40,262814,"ALGAR TECNOLOGIA E CONSULTORIA SA"
2804:270:200::/40,262814,"ALGAR TECNOLOGIA E CONSULTORIA SA"
2804:274::/32,53217,"INFRANET INTERNET LTDA."
2804:27c::/32,25933,"Vogel Solucoes em Telecom e Informatica S/A"
2804:280::/32,53219,"VLC Internet e Servicos Ltda ME"
2804:28c::/32,262822,"WE RADIO COMUNICACOES LTDA EPP"
2804:290::/32,28669,"America-NET Ltda."
2804:294::/32,28604,"Globo Comunicacao e Participacoes SA"
2804:298::/32,53087,"TELY Ltda."
2804:2a0::/32,28272,"GRUPO REDES"
2804:2a4::/32,262828,"Acesse Facil Telecomunicacoes Ltda"
2804:2ac::/32,28300,"MMA ACESSORIOS E SERVICOS DE INFORMATICA LTDA."
