network,autonomous_system_number,autonomous_system_organization
2001:200::/37,2500,"WIDE Project"
2001:200:800::/40,2500,"WIDE Project"
2001:200:900::/40,7660,"Asia Pacific Advanced Network - Japan"
2001:200:a00::/39,2500,"WIDE Project"
2001:200:c00::/38,2500,"WIDE Project"
2001:200:1000::/36,2500,"WIDE Project"
2001:200:2000::/35,2500,"WIDE Project"
2001:200:4000::/34,2500,"WIDE Project"
2001:200:8000::/34,2500,"WIDE Project"
2001:200:c000::/35,23634,"WIDE Project"
2001:200:e000::/35,7660,"Asia Pacific Advanced Network - Japan"
2001:218::/35,2914,NTT-COMMUNICATIONS-2914
2001:218:2000::/39,2914,NTT-COMMUNICATIONS-2914
2001:218:2200::/40,18259,"NTT Communications Corporation"
2001:218:2300::/40,2914,NTT-COMMUNICATIONS-2914
2001:218:2400::/38,2914,NTT-COMMUNICATIONS-2914
2001:218:2800::/37,2914,NTT-COMMUNICATIONS-2914
2001:218:3000::/46,2914,NTT-COMMUNICATIONS-2914
2001:218:3004::/48,20940,"Akamai International B.V."
2001:218:3005::/48,2914,NTT-COMMUNICATIONS-2914
2001:218:3006::/47,2914,NTT-COMMUNICATIONS-2914
2001:218:3008::/45,2914,NTT-COMMUNICATIONS-2914
2001:218:3010::/44,2914,NTT-COMMUNICATIONS-2914
2001:218:3020::/43,2914,NTT-COMMUNICATIONS-2914
2001:218:3040::/42,2914,NTT-COMMUNICATIONS-2914
2001:218:3080::/41,2914,NTT-COMMUNICATIONS-2914
2001:218:3100::/40,2914,NTT-COMMUNICATIONS-2914
2001:218:3200::/39,2914,NTT-COMMUNICATIONS-2914
2001:218:3400::/38,2914,NTT-COMMUNICATIONS-2914
2001:218:3800::/37,2914,NTT-COMMUNICATIONS-2914
2001:218:4000::/34,2914,NTT-COMMUNICATIONS-2914
2001:218:8000::/33,2914,NTT-COMMUNICATIONS-2914
2001:240::/32,2497,"Internet Initiative Japan Inc."
2001:250::/31,23910,"China Next Generation Internet CERNET2"
2001:252::/32,23911,"China Next Generation Internet Beijing IX"
2001:254::/33,24489,"Trans-Eurasia Information Network (TEIN2) - North"
2001:254:8000::/33,24490,"Trans-Eurasia Information Network (TEIN2) - SG"
2001:256:100::/48,24367,"CERNET2 IX at Zhejiang University"
2001:258::/32,2510,"FUJITSU LIMITED"
2001:260::/32,2518,"BIGLOBE Inc."
2001:268::/32,2516,"KDDI CORPORATION"
2001:270::/36,3786,"LG DACOM Corporation"
2001:278::/32,4725,"SoftBank Corp."
2001:288::/32,1659,"Taiwan Academic Network (TANet) Information Center"
2001:290::/32,9318,"SK Broadband Co Ltd"
2001:298::/32,9600,"So-net Corporation"
2001:2a8::/32,7670,"Energia Communications, Inc."
2001:2b8:bc::/48,1237,KISTI
2001:2b8:e6::/48,1237,KISTI
2001:2c0::/32,2514,"NTT PC Communications, Inc."
2001:2d8::/32,9644,"SK Telecom"
2001:2e0::/32,9293,"NTT Com Asia Limited"
2001:2e8::/32,10013,"FreeBit Co.,Ltd."
2001:2f0::/32,7514,"Computer Engineering & Consulting, Ltd."
2001:2f8::/32,2907,"Research Organization of Information and Systems, National Institute of Informatics"
2001:300::/32,2497,"Internet Initiative Japan Inc."
2001:308::/32,7668,"Hokuriku Telecommunication Network Co."
2001:310::/32,4694,"IDC Frontier Inc."
2001:318::/32,7522,"STNet, Incorporated"
2001:320::/32,1237,KISTI
2001:330::/32,6619,"SamsungSDS Inc."
2001:338::/32,4675,"UNIADEX, LTD."
2001:340::/32,4678,"Canon IT Solutions Inc."
2001:348::/32,7679,"QTnet,Inc."
2001:350::/32,7671,"NTT SmartConnect Corporation"
2001:358::/32,4680,"Mitsubishi Electric Information Network Corporation"
2001:360:12::/47,135887,"Telstra Corporation"
2001:360:14::/47,135887,"Telstra Corporation"
2001:370::/32,9607,"BroadBand Tower, Inc."
2001:378::/32,9318,"SK Broadband Co Ltd"
2001:380::/32,4713,"NTT Communications Corporation"
2001:388::/32,7575,"Australian Academic and Research Network (AARNet)"
2001:398::/32,7682,"HOKKAIDO TELECOMMUNICATIONS NETWORK Co., Inc."
2001:3a0::/33,7521,"INTERNET MULTIFEED CO."
2001:3a0:8000::/34,7521,"INTERNET MULTIFEED CO."
2001:3a0:c000::/35,7521,"INTERNET MULTIFEED CO."
2001:3a0:e000::/36,7521,"INTERNET MULTIFEED CO."
2001:3a0:f000::/46,7521,"INTERNET MULTIFEED CO."
2001:3a0:f004::/47,7521,"INTERNET MULTIFEED CO."
2001:3a0:f006::/48,38644,"INTERNET MULTIFEED CO."
2001:3a0:f007::/48,131079,"INTERNET MULTIFEED CO."
2001:3a0:f008::/45,7521,"INTERNET MULTIFEED CO."
2001:3a0:f010::/44,7521,"INTERNET MULTIFEED CO."
2001:3a0:f020::/43,7521,"INTERNET MULTIFEED CO."
2001:3a0:f040::/42,7521,"INTERNET MULTIFEED CO."
2001:3a0:f080::/41,7521,"INTERNET MULTIFEED CO."
2001:3a0:f100::/40,7521,"INTERNET MULTIFEED CO."
2001:3a0:f200::/39,7521,"INTERNET MULTIFEED CO."
2001:3a0:f400::/38,7521,"INTERNET MULTIFEED CO."
2001:3a0:f800::/37,7521,"INTERNET MULTIFEED CO."
2001:3a8::/32,9848,"Sejong Telecom"
2001:3b0::/32,17529,"STARCAT CABLE NETWORK Co .,LTD."
2001:3b8::/32,2527,"So-net Entertainment Corporation"
2001:3c0::/35,7516,"Tohoku Intelligent Telecommunication Co., Inc."
2001:3c8::/36,4621,"Chulalongkorn University"
2001:3c8:1000::/45,4621,"Chulalongkorn University"
2001:3c8:1008::/46,4621,"Chulalongkorn University"
2001:3c8:100c::/47,4621,"Chulalongkorn University"
2001:3c8:100e::/48,4621,"Chulalongkorn University"
2001:3c8:100f::/48,133919,"University campus network, Rajamangala University of Technology Phra Nakhon"
2001:3c8:1010::/44,4621,"Chulalongkorn University"
2001:3c8:1020::/43,4621,"Chulalongkorn University"
2001:3c8:1040::/42,4621,"Chulalongkorn University"
2001:3c8:1080::/41,4621,"Chulalongkorn University"
2001:3c8:1100::/40,4621,"Chulalongkorn University"
2001:3c8:1200::/40,4621,"Chulalongkorn University"
2001:3c8:1300::/46,4621,"Chulalongkorn University"
2001:3c8:1304::/47,4621,"Chulalongkorn University"
2001:3c8:1306::/48,137198,"Phranakorn Rajabhat University"
2001:3c8:1307::/48,4621,"Chulalongkorn University"
2001:3c8:1308::/47,4621,"Chulalongkorn University"
2001:3c8:130a::/48,17827,"Sukhothai Thammathirat Open University"
2001:3c8:130b::/48,4621,"Chulalongkorn University"
2001:3c8:130c::/46,4621,"Chulalongkorn University"
2001:3c8:1310::/44,4621,"Chulalongkorn University"
2001:3c8:1320::/43,4621,"Chulalongkorn University"
2001:3c8:1340::/42,4621,"Chulalongkorn University"
2001:3c8:1380::/41,4621,"Chulalongkorn University"
2001:3c8:1400::/48,4621,"Chulalongkorn University"
2001:3c8:1401::/48,3839,"Chulalongkorn University"
2001:3c8:1402::/47,4621,"Chulalongkorn University"
2001:3c8:1404::/46,4621,"Chulalongkorn University"
2001:3c8:1408::/45,4621,"Chulalongkorn University"
2001:3c8:1410::/44,4621,"Chulalongkorn University"
2001:3c8:1420::/43,4621,"Chulalongkorn University"
2001:3c8:1440::/42,4621,"Chulalongkorn University"
2001:3c8:1480::/41,4621,"Chulalongkorn University"
2001:3c8:1500::/40,4621,"Chulalongkorn University"
2001:3c8:1600::/48,4621,"Chulalongkorn University"
2001:3c8:1601::/48,38589,"Education Network"
2001:3c8:1602::/47,4621,"Chulalongkorn University"
2001:3c8:1604::/46,4621,"Chulalongkorn University"
2001:3c8:1608::/45,4621,"Chulalongkorn University"
2001:3c8:1610::/44,4621,"Chulalongkorn University"
2001:3c8:1620::/43,4621,"Chulalongkorn University"
2001:3c8:1640::/42,4621,"Chulalongkorn University"
2001:3c8:1680::/41,4621,"Chulalongkorn University"
2001:3c8:1700::/48,4621,"Chulalongkorn University"
2001:3c8:1701::/48,23687,"The Institute for the Promotion of Teaching Science"
2001:3c8:1702::/47,4621,"Chulalongkorn University"
2001:3c8:1704::/46,4621,"Chulalongkorn University"
2001:3c8:1708::/45,4621,"Chulalongkorn University"
2001:3c8:1710::/44,4621,"Chulalongkorn University"
2001:3c8:1720::/43,4621,"Chulalongkorn University"
2001:3c8:1740::/42,4621,"Chulalongkorn University"
2001:3c8:1780::/41,4621,"Chulalongkorn University"
2001:3c8:1800::/37,4621,"Chulalongkorn University"
2001:3c8:2000::/38,4621,"Chulalongkorn University"
2001:3c8:2400::/39,4621,"Chulalongkorn University"
2001:3c8:2600::/40,4621,"Chulalongkorn University"
2001:3c8:2700::/46,4621,"Chulalongkorn University"
2001:3c8:2704::/48,4621,"Chulalongkorn University"
2001:3c8:2705::/48,132482,"Rajamangala University of Technology Rattanakosin"
2001:3c8:2706::/47,4621,"Chulalongkorn University"
2001:3c8:2708::/45,4621,"Chulalongkorn University"
2001:3c8:2710::/44,4621,"Chulalongkorn University"
2001:3c8:2720::/43,4621,"Chulalongkorn University"
2001:3c8:2740::/42,4621,"Chulalongkorn University"
2001:3c8:2780::/41,4621,"Chulalongkorn University"
2001:3c8:2800::/39,4621,"Chulalongkorn University"
2001:3c8:2a00::/46,4621,"Chulalongkorn University"
2001:3c8:2a04::/47,4621,"Chulalongkorn University"
2001:3c8:2a06::/48,4621,"Chulalongkorn University"
2001:3c8:2a07::/48,135528,"Muban Chombueng Rajabhat University"
2001:3c8:2a08::/45,4621,"Chulalongkorn University"
2001:3c8:2a10::/44,4621,"Chulalongkorn University"
2001:3c8:2a20::/43,4621,"Chulalongkorn University"
2001:3c8:2a40::/42,4621,"Chulalongkorn University"
2001:3c8:2a80::/41,4621,"Chulalongkorn University"
2001:3c8:2b00::/40,4621,"Chulalongkorn University"
2001:3c8:2c00::/38,4621,"Chulalongkorn University"
2001:3c8:3000::/36,4621,"Chulalongkorn University"
2001:3c8:4000::/46,4621,"Chulalongkorn University"
2001:3c8:4004::/47,4621,"Chulalongkorn University"
2001:3c8:4006::/48,4621,"Chulalongkorn University"
2001:3c8:4007::/48,137241,"PibulSongkramRajabhat University"
2001:3c8:4008::/45,4621,"Chulalongkorn University"
2001:3c8:4010::/44,4621,"Chulalongkorn University"
2001:3c8:4020::/43,4621,"Chulalongkorn University"
2001:3c8:4040::/42,4621,"Chulalongkorn University"
2001:3c8:4080::/41,4621,"Chulalongkorn University"
2001:3c8:4100::/40,4621,"Chulalongkorn University"
2001:3c8:4200::/39,4621,"Chulalongkorn University"
2001:3c8:4400::/38,4621,"Chulalongkorn University"
2001:3c8:4800::/38,4621,"Chulalongkorn University"
2001:3c8:4c00::/39,4621,"Chulalongkorn University"
2001:3c8:4e00::/48,4621,"Chulalongkorn University"
2001:3c8:4e01::/48,132701,"Uttaradit Rajabhat University"
2001:3c8:4e02::/47,4621,"Chulalongkorn University"
2001:3c8:4e04::/46,4621,"Chulalongkorn University"
2001:3c8:4e08::/45,4621,"Chulalongkorn University"
2001:3c8:4e10::/44,4621,"Chulalongkorn University"
2001:3c8:4e20::/43,4621,"Chulalongkorn University"
2001:3c8:4e40::/42,4621,"Chulalongkorn University"
2001:3c8:4e80::/41,4621,"Chulalongkorn University"
2001:3c8:4f00::/40,4621,"Chulalongkorn University"
2001:3c8:5000::/46,4621,"Chulalongkorn University"
2001:3c8:5004::/47,4621,"Chulalongkorn University"
2001:3c8:5006::/48,4621,"Chulalongkorn University"
2001:3c8:5007::/48,17479,"Chiang Mai University"
2001:3c8:5008::/45,4621,"Chulalongkorn University"
2001:3c8:5010::/44,4621,"Chulalongkorn University"
2001:3c8:5020::/43,4621,"Chulalongkorn University"
2001:3c8:5040::/42,4621,"Chulalongkorn University"
2001:3c8:5080::/41,4621,"Chulalongkorn University"
2001:3c8:5100::/40,4621,"Chulalongkorn University"
2001:3c8:5200::/39,4621,"Chulalongkorn University"
2001:3c8:5400::/40,4621,"Chulalongkorn University"
2001:3c8:5500::/46,4621,"Chulalongkorn University"
2001:3c8:5504::/48,4621,"Chulalongkorn University"
2001:3c8:5505::/48,137850,"Mae Fah Luang University"
2001:3c8:5506::/47,4621,"Chulalongkorn University"
2001:3c8:5508::/45,4621,"Chulalongkorn University"
2001:3c8:5510::/44,4621,"Chulalongkorn University"
2001:3c8:5520::/43,4621,"Chulalongkorn University"
2001:3c8:5540::/42,4621,"Chulalongkorn University"
2001:3c8:5580::/41,4621,"Chulalongkorn University"
2001:3c8:5600::/39,4621,"Chulalongkorn University"
2001:3c8:5800::/37,4621,"Chulalongkorn University"
2001:3c8:6000::/35,4621,"Chulalongkorn University"
2001:3c8:8000::/36,4621,"Chulalongkorn University"
2001:3c8:9000::/46,4621,"Chulalongkorn University"
2001:3c8:9004::/47,4621,"Chulalongkorn University"
2001:3c8:9006::/48,4621,"Chulalongkorn University"
2001:3c8:9007::/48,9464,"Prince of Songkla University (Sritrang'NET)"
2001:3c8:9008::/48,4621,"Chulalongkorn University"
2001:3c8:9009::/48,9464,"Prince of Songkla University (Sritrang'NET)"
2001:3c8:900a::/47,4621,"Chulalongkorn University"
2001:3c8:900c::/46,4621,"Chulalongkorn University"
2001:3c8:9010::/44,4621,"Chulalongkorn University"
2001:3c8:9020::/43,4621,"Chulalongkorn University"
2001:3c8:9040::/42,4621,"Chulalongkorn University"
2001:3c8:9080::/41,4621,"Chulalongkorn University"
2001:3c8:9100::/40,4621,"Chulalongkorn University"
2001:3c8:9200::/39,4621,"Chulalongkorn University"
2001:3c8:9400::/38,4621,"Chulalongkorn University"
2001:3c8:9800::/37,4621,"Chulalongkorn University"
2001:3c8:a000::/38,4621,"Chulalongkorn University"
2001:3c8:a400::/39,4621,"Chulalongkorn University"
2001:3c8:a600::/40,4621,"Chulalongkorn University"
2001:3c8:a700::/48,4621,"Chulalongkorn University"
2001:3c8:a701::/48,9562,"Mahasarakham University"
2001:3c8:a702::/48,132879,"Rajabhat Mahasarakham University"
2001:3c8:a703::/48,4621,"Chulalongkorn University"
2001:3c8:a704::/46,4621,"Chulalongkorn University"
2001:3c8:a708::/45,4621,"Chulalongkorn University"
2001:3c8:a710::/44,4621,"Chulalongkorn University"
2001:3c8:a720::/43,4621,"Chulalongkorn University"
2001:3c8:a740::/42,4621,"Chulalongkorn University"
2001:3c8:a780::/41,4621,"Chulalongkorn University"
2001:3c8:a800::/37,4621,"Chulalongkorn University"
2001:3c8:b000::/36,4621,"Chulalongkorn University"
2001:3c8:c000::/39,4621,"Chulalongkorn University"
2001:3c8:c200::/40,4621,"Chulalongkorn University"
2001:3c8:c300::/48,4621,"Chulalongkorn University"
2001:3c8:c301::/48,55545,"Suranaree University of Technology"
2001:3c8:c302::/47,4621,"Chulalongkorn University"
2001:3c8:c304::/48,4621,"Chulalongkorn University"
2001:3c8:c305::/48,37932,"Rajamangala University of Technology Isan"
2001:3c8:c306::/47,4621,"Chulalongkorn University"
2001:3c8:c308::/45,4621,"Chulalongkorn University"
2001:3c8:c310::/44,4621,"Chulalongkorn University"
2001:3c8:c320::/43,4621,"Chulalongkorn University"
2001:3c8:c340::/42,4621,"Chulalongkorn University"
2001:3c8:c380::/41,4621,"Chulalongkorn University"
2001:3c8:c400::/38,4621,"Chulalongkorn University"
2001:3c8:c800::/39,4621,"Chulalongkorn University"
2001:3c8:ca00::/40,4621,"Chulalongkorn University"
2001:3c8:cb00::/48,4621,"Chulalongkorn University"
2001:3c8:cb01::/48,136624,"Sakon Nakhon Rajabhat University"
2001:3c8:cb02::/47,4621,"Chulalongkorn University"
2001:3c8:cb04::/46,4621,"Chulalongkorn University"
2001:3c8:cb08::/45,4621,"Chulalongkorn University"
2001:3c8:cb10::/44,4621,"Chulalongkorn University"
2001:3c8:cb20::/43,4621,"Chulalongkorn University"
2001:3c8:cb40::/42,4621,"Chulalongkorn University"
2001:3c8:cb80::/41,4621,"Chulalongkorn University"
2001:3c8:cc00::/38,4621,"Chulalongkorn University"
2001:3c8:d000::/36,4621,"Chulalongkorn University"
2001:3c8:e000::/40,4621,"Chulalongkorn University"
2001:3c8:e100::/45,4621,"Chulalongkorn University"
2001:3c8:e108::/46,4621,"Chulalongkorn University"
2001:3c8:e10c::/47,4621,"Chulalongkorn University"
2001:3c8:e10e::/48,137546,"Faculty of EngineeringRajamangala University of"
2001:3c8:e10f::/48,4621,"Chulalongkorn University"
2001:3c8:e110::/44,4621,"Chulalongkorn University"
2001:3c8:e120::/43,4621,"Chulalongkorn University"
2001:3c8:e140::/42,4621,"Chulalongkorn University"
2001:3c8:e180::/41,4621,"Chulalongkorn University"
2001:3c8:e200::/39,4621,"Chulalongkorn University"
2001:3c8:e400::/38,4621,"Chulalongkorn University"
2001:3c8:e800::/37,4621,"Chulalongkorn University"
2001:3c8:f000::/36,4621,"Chulalongkorn University"
2001:3d8::/32,9595,"NTT-ME Corporation"
2001:3e0::/32,10013,"FreeBit Co.,Ltd."
2001:400::/32,293,ESNET
2001:408::/32,14793,API-DIGITAL
2001:410::/40,8111,DALUNIV
2001:410:100::/48,8111,DALUNIV
2001:410:101::/48,6509,CANARIE-NTN
2001:410:102::/48,53904,CANARIE-INC
2001:410:103::/48,8111,DALUNIV
2001:410:104::/46,8111,DALUNIV
2001:410:108::/45,8111,DALUNIV
2001:410:110::/44,8111,DALUNIV
2001:410:120::/43,8111,DALUNIV
2001:410:140::/42,8111,DALUNIV
2001:410:180::/41,8111,DALUNIV
2001:410:200::/39,8111,DALUNIV
2001:410:400::/38,8111,DALUNIV
2001:410:800::/37,8111,DALUNIV
2001:410:1000::/40,271,BCNET-AS
2001:410:1100::/40,8111,DALUNIV
2001:410:1200::/39,8111,DALUNIV
2001:410:1400::/38,8111,DALUNIV
2001:410:1800::/37,8111,DALUNIV
2001:410:2000::/40,10965,MRNET
2001:410:2100::/40,8111,DALUNIV
2001:410:2200::/39,8111,DALUNIV
2001:410:2400::/38,8111,DALUNIV
2001:410:2800::/37,8111,DALUNIV
2001:410:3000::/36,8111,DALUNIV
2001:410:4000::/34,8111,DALUNIV
2001:410:8000::/40,26677,ORION-ASN
2001:410:8100::/40,8111,DALUNIV
2001:410:8200::/39,8111,DALUNIV
2001:410:8400::/38,8111,DALUNIV
2001:410:8800::/37,8111,DALUNIV
2001:410:9000::/36,8111,DALUNIV
2001:410:a000::/35,8111,DALUNIV
2001:410:c000::/35,8111,DALUNIV
2001:410:e000::/40,7860,UPEI-AS
2001:410:e100::/40,8111,DALUNIV
2001:410:e200::/39,8111,DALUNIV
2001:410:e400::/38,8111,DALUNIV
2001:410:e800::/37,8111,DALUNIV
2001:410:f000::/36,8111,DALUNIV
2001:418::/48,2914,NTT-COMMUNICATIONS-2914
2001:418:1::/48,3130,"RGnet OU"
2001:418:2::/47,2914,NTT-COMMUNICATIONS-2914
2001:418:4::/46,2914,NTT-COMMUNICATIONS-2914
2001:418:8::/45,2914,NTT-COMMUNICATIONS-2914
2001:418:10::/44,2914,NTT-COMMUNICATIONS-2914
2001:418:20::/43,2914,NTT-COMMUNICATIONS-2914
2001:418:40::/42,2914,NTT-COMMUNICATIONS-2914
2001:418:80::/41,2914,NTT-COMMUNICATIONS-2914
2001:418:100::/40,2914,NTT-COMMUNICATIONS-2914
2001:418:200::/40,2914,NTT-COMMUNICATIONS-2914
2001:418:300::/41,2914,NTT-COMMUNICATIONS-2914
2001:418:380::/42,2914,NTT-COMMUNICATIONS-2914
2001:418:3c0::/43,2914,NTT-COMMUNICATIONS-2914
2001:418:3e0::/44,2914,NTT-COMMUNICATIONS-2914
2001:418:3f0::/45,2914,NTT-COMMUNICATIONS-2914
2001:418:3f8::/46,2914,NTT-COMMUNICATIONS-2914
2001:418:3fc::/47,2914,NTT-COMMUNICATIONS-2914
2001:418:3fe::/48,3727,SHRUBB
2001:418:3ff::/48,2914,NTT-COMMUNICATIONS-2914
2001:418:400::/38,2914,NTT-COMMUNICATIONS-2914
2001:418:800::/38,2914,NTT-COMMUNICATIONS-2914
2001:418:c00::/46,2914,NTT-COMMUNICATIONS-2914
2001:418:c04::/47,2914,NTT-COMMUNICATIONS-2914
2001:418:c06::/48,262,VERIO
2001:418:c07::/48,2914,NTT-COMMUNICATIONS-2914
2001:418:c08::/45,2914,NTT-COMMUNICATIONS-2914
2001:418:c10::/44,2914,NTT-COMMUNICATIONS-2914
2001:418:c20::/43,2914,NTT-COMMUNICATIONS-2914
2001:418:c40::/42,2914,NTT-COMMUNICATIONS-2914
2001:418:c80::/41,2914,NTT-COMMUNICATIONS-2914
2001:418:d00::/40,2914,NTT-COMMUNICATIONS-2914
2001:418:e00::/39,2914,NTT-COMMUNICATIONS-2914
2001:418:1000::/38,2914,NTT-COMMUNICATIONS-2914
2001:418:1400::/48,2914,NTT-COMMUNICATIONS-2914
2001:418:1401::/64,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:1::/64,3949,NTTA-3946
2001:418:1401:2::/64,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:3::/64,2639,ZOHO-AS
2001:418:1401:4::/64,20940,"Akamai International B.V."
2001:418:1401:5::/64,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:6::/64,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:7::/64,20940,"Akamai International B.V."
2001:418:1401:8::/64,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:9::/64,20940,"Akamai International B.V."
2001:418:1401:a::/63,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:c::/63,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:e::/63,20940,"Akamai International B.V."
2001:418:1401:10::/61,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:18::/62,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:1c::/64,20940,"Akamai International B.V."
2001:418:1401:1d::/64,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:1e::/63,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:20::/62,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:24::/64,2639,ZOHO-AS
2001:418:1401:25::/64,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:26::/63,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:28::/61,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:30::/60,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:40::/58,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:80::/60,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:90::/61,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:98::/64,3949,NTTA-3946
2001:418:1401:99::/64,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:9a::/63,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:9c::/62,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:a0::/59,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:c0::/58,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:100::/56,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:200::/55,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:400::/54,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:800::/53,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:1000::/52,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:2000::/51,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:4000::/50,2914,NTT-COMMUNICATIONS-2914
2001:418:1401:8000::/49,2914,NTT-COMMUNICATIONS-2914
2001:418:1402::/47,2914,NTT-COMMUNICATIONS-2914
2001:418:1404::/46,2914,NTT-COMMUNICATIONS-2914
2001:418:1408::/45,2914,NTT-COMMUNICATIONS-2914
2001:418:1410::/45,2914,NTT-COMMUNICATIONS-2914
2001:418:1418::/46,2914,NTT-COMMUNICATIONS-2914
2001:418:141c::/47,2914,NTT-COMMUNICATIONS-2914
2001:418:141e::/48,2914,NTT-COMMUNICATIONS-2914
2001:418:141f::/56,2914,NTT-COMMUNICATIONS-2914
2001:418:141f:100::/56,20940,"Akamai International B.V."
2001:418:141f:200::/56,20940,"Akamai International B.V."
2001:418:141f:300::/56,2914,NTT-COMMUNICATIONS-2914
2001:418:141f:400::/54,2914,NTT-COMMUNICATIONS-2914
2001:418:141f:800::/53,2914,NTT-COMMUNICATIONS-2914
2001:418:141f:1000::/52,2914,NTT-COMMUNICATIONS-2914
2001:418:141f:2000::/51,2914,NTT-COMMUNICATIONS-2914
2001:418:141f:4000::/50,2914,NTT-COMMUNICATIONS-2914
2001:418:141f:8000::/49,2914,NTT-COMMUNICATIONS-2914
2001:418:1420::/55,2914,NTT-COMMUNICATIONS-2914
2001:418:1420:200::/56,20940,"Akamai International B.V."
2001:418:1420:300::/56,2914,NTT-COMMUNICATIONS-2914
2001:418:1420:400::/54,2914,NTT-COMMUNICATIONS-2914
2001:418:1420:800::/53,2914,NTT-COMMUNICATIONS-2914
2001:418:1420:1000::/52,2914,NTT-COMMUNICATIONS-2914
2001:418:1420:2000::/51,2914,NTT-COMMUNICATIONS-2914
2001:418:1420:4000::/50,2914,NTT-COMMUNICATIONS-2914
2001:418:1420:8000::/49,2914,NTT-COMMUNICATIONS-2914
2001:418:1421::/48,2914,NTT-COMMUNICATIONS-2914
2001:418:1422::/47,2914,NTT-COMMUNICATIONS-2914
2001:418:1424::/46,2914,NTT-COMMUNICATIONS-2914
2001:418:1428::/46,2914,NTT-COMMUNICATIONS-2914
2001:418:142c::/48,2914,NTT-COMMUNICATIONS-2914
2001:418:142d::/56,2914,NTT-COMMUNICATIONS-2914
2001:418:142d:100::/56,16625,AKAMAI-AS
2001:418:142d:200::/55,2914,NTT-COMMUNICATIONS-2914
2001:418:142d:400::/54,2914,NTT-COMMUNICATIONS-2914
2001:418:142d:800::/53,2914,NTT-COMMUNICATIONS-2914
2001:418:142d:1000::/52,2914,NTT-COMMUNICATIONS-2914
2001:418:142d:2000::/51,2914,NTT-COMMUNICATIONS-2914
2001:418:142d:4000::/50,2914,NTT-COMMUNICATIONS-2914
2001:418:142d:8000::/49,2914,NTT-COMMUNICATIONS-2914
2001:418:142e::/55,2914,NTT-COMMUNICATIONS-2914
2001:418:142e:200::/55,16625,AKAMAI-AS
2001:418:142e:400::/54,2914,NTT-COMMUNICATIONS-2914
2001:418:142e:800::/53,2914,NTT-COMMUNICATIONS-2914
2001:418:142e:1000::/52,2914,NTT-COMMUNICATIONS-2914
2001:418:142e:2000::/51,2914,NTT-COMMUNICATIONS-2914
2001:418:142e:4000::/50,2914,NTT-COMMUNICATIONS-2914
2001:418:142e:8000::/49,2914,NTT-COMMUNICATIONS-2914
2001:418:142f::/48,2914,NTT-COMMUNICATIONS-2914
2001:418:1430::/45,2914,NTT-COMMUNICATIONS-2914
2001:418:1438::/48,2914,NTT-COMMUNICATIONS-2914
2001:418:1439::/48,1225,NTTA-1225
2001:418:143a::/56,2914,NTT-COMMUNICATIONS-2914
2001:418:143a:100::/56,20940,"Akamai International B.V."
2001:418:143a:200::/55,2914,NTT-COMMUNICATIONS-2914
2001:418:143a:400::/54,2914,NTT-COMMUNICATIONS-2914
2001:418:143a:800::/53,2914,NTT-COMMUNICATIONS-2914
2001:418:143a:1000::/52,2914,NTT-COMMUNICATIONS-2914
2001:418:143a:2000::/51,2914,NTT-COMMUNICATIONS-2914
2001:418:143a:4000::/50,2914,NTT-COMMUNICATIONS-2914
2001:418:143a:8000::/49,2914,NTT-COMMUNICATIONS-2914
2001:418:143b::/56,2914,NTT-COMMUNICATIONS-2914
2001:418:143b:100::/56,20940,"Akamai International B.V."
2001:418:143b:200::/55,2914,NTT-COMMUNICATIONS-2914
2001:418:143b:400::/54,2914,NTT-COMMUNICATIONS-2914
2001:418:143b:800::/53,2914,NTT-COMMUNICATIONS-2914
2001:418:143b:1000::/52,2914,NTT-COMMUNICATIONS-2914
2001:418:143b:2000::/51,2914,NTT-COMMUNICATIONS-2914
