"inputIp","seeHttp","yResultLabel"
"1.228.128.0/18","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.228.216.0/21",,"vpn"
"1.230.144.0/22","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.230.176.0/20","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.230.202.0/23",,"vpn"
"1.235.104.0/21",,"vpn"
"1.242.128.0/17",,"vpn"
"1.244.118.0/24",,"vpn"
"1.244.120.0/21",,"vpn"
"1.248.220.0/22","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.249.96.0/21","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.250.62.0/24","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.251.0.0/16","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.252.186.0/24","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.252.188.0/22",,"vpn"
"1.252.192.0/18",,"vpn"
"1.253.86.0/23",,"vpn"
"1.253.96.0/19",,"vpn"
"1.254.229.0/24","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.255.74.0/24",,"vpn"
"2.16.74.0/23",,"vpn"
"2.16.84.0/22",,"vpn"
"2.16.93.0/24",,"vpn"
"2.16.94.0/23",,"vpn"
"2.16.176.0/24",,"vpn"
"2.16.177.0/24","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.17.8.0/22","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.17.42.0/24",,"vpn"
"2.17.43.0/24",,"vpn"
"2.17.104.0/23","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.17.192.0/22",,"vpn"
"2.17.216.0/23",,"vpn"
"2.18.0.0/22",,"vpn"
"2.18.24.0/24",,"vpn"
"2.18.32.0/22","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.18.44.0/22","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.18.48.0/21",,"vpn"
"2.18.56.0/22","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.18.65.0/24","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.18.67.0/24","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.18.68.0/22","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.18.80.0/20","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.18.96.0/20","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.18.112.0/20","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.18.144.0/20","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.18.208.0/22","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.18.244.0/23","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
